actor,movie_or_TV_name
Actor: Ayane Sakura,Eiga Bakuten!!
Actor: Ayane Sakura,Eiga Go-Toubun no Hanayome
Actor: Ayane Sakura,Attack on Titan
Actor: Ayane Sakura,Mieruko-chan
Actor: Ayane Sakura,BanG Dream! Girls Band Party! PICO
Actor: Ayane Sakura,Magia Record: Puella Magi Madoka Magica Side Story
Actor: Ayane Sakura,My Hero Academia
Actor: Ayane Sakura,Tsukimichi: Moonlit Fantasy
Actor: Ayane Sakura,"Girlfriend, Girlfriend"
Actor: Ayane Sakura,Blue Reflection Ray
Actor: Ayane Sakura,Bang Dream! Film Live 2nd Stage
Actor: Ayane Sakura,My Hero Academia: World Heroes' Mission
Actor: Ayane Sakura,Battle Game in 5 Seconds
Actor: Ayane Sakura,Gekijou Henshuuban Kakushigoto: Himegoto wa Nandesuka
Actor: Ayane Sakura,Shadows House
Actor: Ayane Sakura,Osamake: Romcom Where the Childhood Friend Won't Lose
Actor: Ayane Sakura,BanG Dream! Episode of Roselia II: Song I am.
Actor: Ayane Sakura,Knights of Sidonia: Love Woven in the Stars
Actor: Ayane Sakura,Azur Lane: Slow Ahead!
Actor: Ayane Sakura,Girls und Panzer das Finale: Part III
Actor: Ayane Sakura,The Quintessential Quintuplets
Actor: Ayane Sakura,Vlad Love
Actor: Ayane Sakura,Kamisama ni Natta hi
Actor: Ayane Sakura,Sleepy Princess in the Demon Castle
Actor: Ayane Sakura,Lapis Re:Lights
Actor: Ayane Sakura,"Love Me, Love Me Not"
Actor: Ayane Sakura,The God of High School
Actor: Ayane Sakura,My Teen Romantic Comedy SNAFU
Actor: Ayane Sakura,Black Clover
Actor: Ayane Sakura,Sakura Wars: The Animation
Actor: Ayane Sakura,Kakushigoto
Actor: Ayane Sakura,Psycho Pass 3: First Inspector
Actor: Ayane Sakura,Mugen no jûnin: Immortal
Actor: Ayane Sakura,ID:Invaded
Actor: Ayane Sakura,BanG Dream!
Actor: Ayane Sakura,Isekai Quartet
Actor: Ayane Sakura,Shirobako: The Movie
Actor: Ayane Sakura,Uchi Tama?! Uchi no Tama Shirimasen ka?
Actor: Ayane Sakura,My Hero Academia: Heroes Rising
Actor: Ayane Sakura,Psycho-Pass
Actor: Ayane Sakura,Fragtime
Actor: Ayane Sakura,Assassins Pride
Actor: Ayane Sakura,Beastars
Actor: Ayane Sakura,BanG Dream! FILM LIVE
Actor: Ayane Sakura,Hakubo
Actor: Ayane Sakura,Carole & Tuesday
Actor: Ayane Sakura,Girls und Panzer das Finale: Part II
Actor: Ayane Sakura,Promare: Galo-hen
Actor: Ayane Sakura,Promare: Lio-hen
Actor: Ayane Sakura,Promare
Actor: Ayane Sakura,Ace of Diamond: Act II
Actor: Ayane Sakura,Trinity Seven The Movie 2: Heavens Library & Crimson Lord
Actor: Ayane Sakura,Grisaia: Phantom Trigger
Actor: Ayane Sakura,Grisaia: Phantom trigger the animation 01. SORD
Actor: Ayane Sakura,Grisaia: Phantom trigger the animation 02. Soul Speed
Actor: Ayane Sakura,Shinkansen Henkei Robo Shinkalion the Animation
Actor: Ayane Sakura,Psycho-Pass: Sinners of the System Case.2 First Guardian
Actor: Ayane Sakura,Psycho-Pass: Sinners of the System Case.1 Crime and Punishment
Actor: Ayane Sakura,Weathering with You
Actor: Ayane Sakura,Tokyo Ghoul: re
Actor: Ayane Sakura,Boarding School Juliet
Actor: Ayane Sakura,Karakuri Circus
Actor: Ayane Sakura,Miss Caretaker of Sunohara-sou
Actor: Ayane Sakura,Non Non Biyori: The Movie - Vacation
Actor: Ayane Sakura,Overlord
Actor: Ayane Sakura,Lupin III
Actor: Ayane Sakura,My Hero Academia: Two Heroes
Actor: Ayane Sakura,High School DxD
Actor: Ayane Sakura,Darling in the Franxx
Actor: Ayane Sakura,Kase-san and Morning Glories
Actor: Ayane Sakura,Alice or Alice: Siscon Niisan to Futago no Imouto
Actor: Ayane Sakura,The Ryuo's Work Is Never Done!
Actor: Ayane Sakura,Ms. Koizumi Loves Ramen Noodles
Actor: Ayane Sakura,Boku No Hero Academia: Realidad Alterna
Actor: Ayane Sakura,Basilisk: The Ouka Ninja Scrolls
Actor: Ayane Sakura,Land of the Lustrous
Actor: Ayane Sakura,Welcome to the Ballroom
Actor: Ayane Sakura,Girls und Panzer das Finale: Part I
Actor: Ayane Sakura,Kino's Journey: The Beautiful World - The Animated Series
Actor: Ayane Sakura,Is the Order a Rabbit?? ~ Dear My Sister ~
Actor: Ayane Sakura,Juuni Taisen
Actor: Ayane Sakura,Overlord: Pure Pure Pleiades
Actor: Ayane Sakura,Tsuredure Children
Actor: Ayane Sakura,Atom the Beginning
Actor: Ayane Sakura,Fastest Finger First
Actor: Ayane Sakura,Battle Girl High School
Actor: Ayane Sakura,My Hero Academia: Training of the Dead
Actor: Ayane Sakura,Blame!
Actor: Ayane Sakura,Seiren
Actor: Ayane Sakura,Trinity Seven: Eternity Library & Alchemic Girl
Actor: Ayane Sakura,Ao Oni: The Animation
Actor: Ayane Sakura,Occultic;Nine
Actor: Ayane Sakura,"Yahari Ore no Seishun LoveCome wa Machigatte Iru. Zoku: Kitto, Onnanoko wa Osatou to Spice to Suteki na Nanika de Dekite Iru."
Actor: Ayane Sakura,This Art Club Has a Problem!
Actor: Ayane Sakura,Days
Actor: Ayane Sakura,Orange
Actor: Ayane Sakura,Flying Witch
Actor: Ayane Sakura,Regalia: The Three Sacred Stars
Actor: Ayane Sakura,Terra Formars
Actor: Ayane Sakura,Concrete Revolutio
Actor: Ayane Sakura,Shônen Ashibe GO! GO! Goma-chan
Actor: Ayane Sakura,Charlotte
Actor: Ayane Sakura,Utawarerumono: The False Faces
Actor: Ayane Sakura,Gekijouban Selector Destructed WIXOSS
Actor: Ayane Sakura,Gate
Actor: Ayane Sakura,Is the Order a Rabbit?
Actor: Ayane Sakura,GARAKOWA - Restore the World
Actor: Ayane Sakura,Aria the Scarlet Ammo AA
Actor: Ayane Sakura,Seiyu's Life!
Actor: Ayane Sakura,Non Non Biyori
Actor: Ayane Sakura,Aquarion Logos
Actor: Ayane Sakura,"Hoopa, the Mischief Pokémon"
Actor: Ayane Sakura,Nisekoi
Actor: Ayane Sakura,Love Live! The School Idol Movie
Actor: Ayane Sakura,Your Lie in April
Actor: Ayane Sakura,Unlimited Fafnir
Actor: Ayane Sakura,Trinity Seven
Actor: Ayane Sakura,Psycho-Pass: The Movie
Actor: Ayane Sakura,Military!
Actor: Ayane Sakura,Cross Road
Actor: Ayane Sakura,Infinite Stratos
Actor: Ayane Sakura,Himegoto
Actor: Ayane Sakura,Sailor Moon Crystal
Actor: Ayane Sakura,Monthly Girls' Nozaki-kun
Actor: Ayane Sakura,Love Live! School Idol Project
Actor: Ayane Sakura,Knights of Sidonia
Actor: Ayane Sakura,Dragonar Academy
Actor: Ayane Sakura,Brynhildr in the Darkness
Actor: Ayane Sakura,Selector Infected WIXOSS
Actor: Ayane Sakura,Tokyo Ravens
Actor: Ayane Sakura,Gekijouban Puritîrizumu ôru sutâ serekushon: Purizumu shô besuto ten
Actor: Ayane Sakura,Love Lab
Actor: Ayane Sakura,Aiura
Actor: Ayane Sakura,ChocoTan!
Actor: Ayane Sakura,Haganai: I Don't Have Many Friends
Actor: Ayane Sakura,A Certain Magical Index: The Movie - The Miracle of Endymion
Actor: Ayane Sakura,Vividred Operation
Actor: Ayane Sakura,The Pet Girl of Sakurasou
Actor: Ayane Sakura,Puella Magi Madoka Magica the Movie Part 2: Eternal
Actor: Ayane Sakura,Puella Magi Madoka Magica the Movie Part 1: Beginnings
Actor: Ayane Sakura,Joshiraku
Actor: Ayane Sakura,Kokoro Connect
Actor: Ayane Sakura,Campione!
Actor: Ayane Sakura,Nakaimo: My Little Sister Is Among Them
Actor: Ayane Sakura,Ben-To
Actor: Ayane Sakura,To the Forest of Firefly Lights
Actor: Ayane Sakura,Ro-Kyu-Bu!
Actor: Ayane Sakura,Anohana: The Flower We Saw That Day
Actor: Ayane Sakura,Puella Magi Madoka Magica
Actor: Ayane Sakura,Dream Eater Merry
Actor: Ayane Sakura,Ore no imouto ga konna ni kawaii wake ga nai
Actor: Kentarô Itô,Star Wars: Visions
Actor: Kentarô Itô,Boruto: Naruto Next Generations
Actor: Kentarô Itô,Kikai Sentai Zenkaiger: Secret Zenkai File
Actor: Kentarô Itô,Kikai Sentai Zenkaiger
Actor: Kentarô Itô,Seven Knights Revolution: The Hero's Successor
Actor: Kentarô Itô,Eden
Actor: Kentarô Itô,King's Raid: Successors of the Will
Actor: Kentarô Itô,Golden Kamuy
Actor: Kentarô Itô,Black Clover
Actor: Kentarô Itô,Kamen Rider Heisei Generations Forever
Actor: Kentarô Itô,Lupin III
Actor: Kentarô Itô,Overlord
Actor: Kentarô Itô,Gintama
