actor,movie_or_TV_name
Actor: Akemi Okamura,One Piece
Actor: Akemi Okamura,Natsume's Book of Friends: The Waking Rock and the Strange Visitor
Actor: Akemi Okamura,One Piece: Stampede
Actor: Akemi Okamura,Meruhen Medohen
Actor: Akemi Okamura,Gaikotsu Shotenin Honda-san
Actor: Akemi Okamura,Tôkyô Wan Pîsu Tawâ: Tongari Shima no Dai Hihô
Actor: Akemi Okamura,One Piece Film: Gold
Actor: Akemi Okamura,Erased
Actor: Akemi Okamura,Hunter x Hunter
Actor: Akemi Okamura,The Smiths
Actor: Akemi Okamura,Dream 9 Toriko x One Piece x Dragon Ball Z Super Collaboration Special!!
Actor: Akemi Okamura,One Piece Film Z
Actor: Akemi Okamura,One Piece: Episode of Nami - Tears of a Navigator and the Bonds of Friends
Actor: Akemi Okamura,Toriko
Actor: Akemi Okamura,Puka Puka Juju
Actor: Akemi Okamura,Digimon Xros Wars: The Young Hunters Who Leapt Through Time
Actor: Akemi Okamura,One Piece 3D: Straw Hat Chase
Actor: Akemi Okamura,Princess Jellyfish
Actor: Akemi Okamura,Super Street Fighter IV
Actor: Akemi Okamura,One Piece: Strong World
Actor: Akemi Okamura,Tamagotchi!
Actor: Akemi Okamura,Pokémon
Actor: Akemi Okamura,Fullmetal Alchemist: Brotherhood
Actor: Akemi Okamura,Natsume's Book of Friends
Actor: Akemi Okamura,Wan pîsu: Romansu keimei
Actor: Akemi Okamura,"One Piece: Episode of Chopper Plus - Bloom in the Winter, Miracle Sakura"
Actor: Akemi Okamura,Rental Magica
Actor: Akemi Okamura,Kite Liberator
Actor: Akemi Okamura,Lovely Complex
Actor: Akemi Okamura,Kenkô zenrakei suieibu umishô
Actor: Akemi Okamura,Devil May Cry: The Animated Series
Actor: Akemi Okamura,Teiruzu obu shinfonia: The animation
Actor: Akemi Okamura,Kaze no Shoujo Emily
Actor: Akemi Okamura,One Piece: Episode of Alabasta - The Desert Princess and the Pirates
Actor: Akemi Okamura,D.Gray-man
Actor: Akemi Okamura,The Story of Saiunkoku
Actor: Akemi Okamura,Nana
Actor: Akemi Okamura,Noein: To Your Other Self
Actor: Akemi Okamura,One Piece: The Giant Mechanical Soldier of Karakuri Castle
Actor: Akemi Okamura,Mushi-Shi
Actor: Akemi Okamura,The Detective Memoirs of Chief Straw Hat Luffy
Actor: Akemi Okamura,Aria: The Animation
Actor: Akemi Okamura,Kisaku Spirit - The Letch Lives
Actor: Akemi Okamura,One Piece: Baron Omatsuri and the Secret Island
